cfips,pop_2010,pop_2015,pop_2020,pop_5yr_pct_chg,pop_10yr_pct_chg
05097,9515.0,9029.0,9006.0,-0.2547347436039428,-5.34944823962165
05099,8994.0,8506.0,8099.0,-4.784857747472373,-9.951078496775628
05101,8305.0,7848.0,7602.0,-3.1345565749235473,-8.464780252859724
05103,26048.0,24324.0,23167.0,-4.756618977141917,-11.060350122850123
05105,10445.0,10303.0,10327.0,0.23294186159371058,-1.1297271421732886
05107,21675.0,19548.0,17299.0,-11.505013300593411,-20.189158016147637
05109,11263.0,10834.0,10643.0,-1.7629684327118331,-5.504750066589718
05111,24510.0,24004.0,23283.0,-3.0036660556573906,-5.006119951040391
05113,20669.0,20205.0,19707.0,-2.4647364513734225,-4.6543132227006625
05115,62110.0,63642.0,64334.0,1.0873322648565413,3.5807438415714055
05117,8726.0,8311.0,7966.0,-4.151125015040308,-8.709603483841393
05119,383569.0,393857.0,392980.0,-0.22266964913661558,2.4535350875592137
05121,17955.0,17447.0,18247.0,4.5853155270247035,1.6262879420774157
05123,28131.0,26600.0,24682.0,-7.2105263157894735,-12.260495538729515
05125,107651.0,116428.0,123968.0,6.476105404198303,15.157313912550743
05127,11251.0,10538.0,10164.0,-3.549060542797495,-9.66136343436139
05129,8182.0,7838.0,7842.0,0.05103342689461597,-4.155463211928624
05131,125782.0,127511.0,127590.0,0.061955439138584124,1.4374075781908382
05133,17153.0,17263.0,16702.0,-3.2497248450443146,-2.6292776773742204
05135,17244.0,16811.0,17424.0,3.646421985604664,1.0438413361169103
05137,12391.0,12405.0,12674.0,2.1684804514308746,2.2839157452990073
05139,41570.0,40112.0,38219.0,-4.719285999202234,-8.061101756074091
05141,17306.0,16811.0,16541.0,-1.6060912497769317,-4.4204322200392925
05143,204021.0,224600.0,243216.0,8.288512911843277,19.21125766465217
05145,77349.0,78954.0,78729.0,-0.2849760620107911,1.784121320249777
05147,7248.0,6715.0,6264.0,-6.716306775874907,-13.57615894039735
05149,22148.0,21505.0,21181.0,-1.5066263659614043,-4.3660827162723495
06001,1512997.0,1634326.0,1662323.0,1.7130609193025137,9.869550303140059
06003,1161.0,1080.0,1119.0,3.611111111111111,-3.6175710594315245
06005,37883.0,37039.0,40083.0,8.218364426685385,5.80735422221049
06007,219951.0,224643.0,212744.0,-5.296848777838615,-3.2766388877522723
06009,45467.0,44972.0,46308.0,2.9707373476830026,1.8496931840675654
06011,21435.0,21208.0,21558.0,1.6503206337231233,0.5738278516445067
06013,1052516.0,1124148.0,1152333.0,2.5072321438102456,9.48365630546234
06015,28568.0,27198.0,27968.0,2.831090521361865,-2.100252030243629
06017,181161.0,184627.0,192925.0,4.49446722310388,6.493671375185609
06019,932011.0,968889.0,1000918.0,3.3057450337448357,7.393367674845039
06021,28125.0,27723.0,28283.0,2.0199834072791547,0.5617777777777778
06023,135010.0,135177.0,134977.0,-0.14795416380005474,-0.02444263387897193
06025,174704.0,178701.0,180267.0,0.8763241392045932,3.184243062551516
06027,18503.0,18097.0,18046.0,-0.28181466541415706,-2.4698697508512133
06029,841365.0,876548.0,901362.0,2.8308774875990816,7.130912267565207
06031,152342.0,149960.0,152692.0,1.8218191517738063,0.22974622887975737
06033,64736.0,64266.0,64479.0,0.33143497339184014,-0.39699703410776077
06035,34828.0,31256.0,30016.0,-3.967238290248272,-13.816469507292982
06037,9821647.0,10077263.0,9943046.0,-1.3318794994236034,1.2360350560348992
06039,151006.0,153448.0,157761.0,2.8107241541108388,4.473332185476074
06041,252906.0,260974.0,257332.0,-1.3955413182922436,1.7500573335547596
06043,18302.0,17653.0,17160.0,-2.79272644876225,-6.239755218008961
06045,87796.0,87131.0,86061.0,-1.2280359458746026,-1.9761720351724452
06047,256709.0,266133.0,279252.0,4.929490142146972,8.781538629342952
06049,9698.0,9064.0,8763.0,-3.320829655781112,-9.641163126417817
06051,14256.0,14074.0,14534.0,3.268438254938184,1.9500561167227835
06053,416358.0,430178.0,430906.0,0.16923227129234875,3.4941084355290397
06055,136752.0,140766.0,135965.0,-3.410624724720458,-0.5754943254943254
06057,98795.0,98716.0,99606.0,0.9015762389075732,0.8208917455336808
06059,3016376.0,3148952.0,3166857.0,0.5686018713527549,4.988801130893496
06061,350007.0,372870.0,402950.0,8.067154772440798,15.126268903193365
06063,19915.0,18435.0,18967.0,2.8858150257662056,-4.760230981672106
06065,2201562.0,2344648.0,2489188.0,6.164678024163968,13.064633201336143
06067,1421381.0,1493547.0,1559146.0,4.39216174650011,9.692334426870769
06069,55544.0,58276.0,64055.0,9.916603747683437,15.322987181333717
06071,2040803.0,2114352.0,2189183.0,3.5391930955678146,7.270667477458628
06073,3103260.0,3280825.0,3332427.0,1.572836100675897,7.384718006225711
06075,805519.0,863237.0,866606.0,0.39027520831475015,7.58355792973226
06077,687115.0,721919.0,767967.0,6.378554934833409,11.766880362093682
06079,269800.0,280138.0,282249.0,0.7535571753921282,4.614158636026686
06081,719948.0,765479.0,758308.0,-0.9367990500065971,5.328162589520354
06083,424218.0,442051.0,444766.0,0.6141825264505679,4.843736003658496
06085,1786001.0,1915736.0,1907105.0,-0.4505318060526085,6.780735285142618
06087,263174.0,273495.0,269925.0,-1.305325508693029,2.565223008351889
06089,177277.0,178386.0,179027.0,0.3593331315237743,0.9871556941960886
06091,3220.0,2990.0,2920.0,-2.3411371237458196,-9.316770186335404
06093,44941.0,43275.0,43245.0,-0.06932409012131716,-3.7738368082597185
